employee_id,year,tenure_years,EES_overall,JSS_overall,LIS_overall,num_surveys_year,department,role,EES_overall_norm,JSS_overall_norm,LIS_overall_norm,EES_prev,delta_EES,JSS_prev,delta_JSS,LIS_prev,delta_LIS,attrition_next_year
695c39e7ce90b13220851e53,2021,0,4.43270969639869,2.7638084815254667,3.0491834839213343,3,Human Resources,Senior Manager,0.886541939279738,0.5527616963050933,0.6098366967842669,,,,,,,0
695c39e7ce90b13220851e54,2021,0,2.731942249449137,2.880181852769704,2.306920915244336,3,Administration,Manager,0.5463884498898274,0.5760363705539409,0.46138418304886725,,,,,,,0
695c39e7ce90b13220851e54,2022,1,3.8846026609826807,4.862331015702549,3.9398224586359154,3,Administration,Manager,0.7769205321965361,0.9724662031405098,0.7879644917271831,2.731942249449137,1.1526604115335437,2.880181852769704,1.9821491629328447,2.306920915244336,1.6329015433915792,0
695c39e7ce90b13220851e54,2023,2,3.2743589971719906,3.3483672287200537,3.6180125646560577,3,Administration,Manager,0.6548717994343981,0.6696734457440108,0.7236025129312116,3.8846026609826807,-0.6102436638106901,4.862331015702549,-1.5139637869824951,3.9398224586359154,-0.3218098939798577,0
695c39e7ce90b13220851e54,2024,3,3.107622132169745,3.521196608789409,2.6358309175101886,3,Administration,Manager,0.621524426433949,0.7042393217578817,0.5271661835020377,3.2743589971719906,-0.1667368650022456,3.3483672287200537,0.17282938006935522,3.6180125646560577,-0.9821816471458691,0
695c39e7ce90b13220851e54,2025,4,3.122403347289007,2.023718885622012,1.581062843654524,3,Administration,Manager,0.6244806694578015,0.40474377712440235,0.3162125687309048,3.107622132169745,0.014781215119262114,3.521196608789409,-1.497477723167397,2.6358309175101886,-1.0547680738556646,0
695c39e7ce90b13220851e55,2021,0,2.503498476646511,3.709758420748364,3.803842633032313,3,Human Resources,Assistant Manager,0.5006996953293023,0.7419516841496728,0.7607685266064627,,,,,,,0
695c39e7ce90b13220851e55,2022,1,2.523759222944753,2.842313951157829,3.461479858736511,3,Human Resources,Assistant Manager,0.5047518445889506,0.5684627902315658,0.6922959717473022,2.503498476646511,0.020260746298241816,3.709758420748364,-0.8674444695905352,3.803842633032313,-0.3423627742958022,0
695c39e7ce90b13220851e55,2023,2,2.7083266137423623,3.5561293395941718,3.2086111866689855,3,Human Resources,Assistant Manager,0.5416653227484725,0.7112258679188344,0.6417222373337971,2.523759222944753,0.1845673907976093,2.842313951157829,0.713815388436343,3.461479858736511,-0.2528686720675255,0
695c39e7ce90b13220851e55,2024,3,2.565581347069755,1.9378855931605004,1.2685620885179385,3,Human Resources,Assistant Manager,0.513116269413951,0.3875771186321001,0.2537124177035877,2.7083266137423623,-0.14274526667260723,3.5561293395941718,-1.6182437464336714,3.2086111866689855,-1.940049098151047,1
695c39e7ce90b13220851e55,2025,4,3.356399858057759,3.57434034657959,3.335548546514519,3,Human Resources,Assistant Manager,0.6712799716115518,0.7148680693159181,0.6671097093029038,2.565581347069755,0.7908185109880042,1.9378855931605004,1.6364547534190899,1.2685620885179385,2.0669864579965807,0
695c39e7ce90b13220851e56,2021,0,2.8581313365274266,3.5632396919618587,3.0606822629557167,3,Administration,General Manager,0.5716262673054853,0.7126479383923717,0.6121364525911434,,,,,,,0
695c39e7ce90b13220851e56,2022,1,3.0877416011773917,2.660434863682629,3.738865002216516,3,Administration,General Manager,0.6175483202354783,0.5320869727365258,0.7477730004433032,2.8581313365274266,0.22961026464996515,3.5632396919618587,-0.9028048282792298,3.0606822629557167,0.6781827392607993,0
